Date,FCost,GCost
2021-03-25,301.26,0
2021-03-26,995.31,0
2021-03-27,967.14,0
2021-03-28,988.2,0
2021-03-29,1032.63,0
2021-03-30,1026.93,0
2021-03-31,362.38,0
2021-04-12,18.5,0
2021-04-13,22.4,0
2021-04-14,23.34,0
2021-04-15,22.7,0
2021-04-16,22.67,0
2021-04-17,23.62,0
2021-04-18,24.28,0
2021-04-19,24.99,0
2021-04-20,24.08,0
2021-04-21,22.3,0
2021-04-22,22.83,0
2021-04-23,23,0
2021-04-24,22.8,0
2021-04-25,44.95,0
2021-04-26,120.79,0
2021-04-27,119.84,0
2021-04-28,127.64,0
2021-04-29,124.94,0
2021-04-30,128.22,0
2021-05-01,135.9,0
2021-05-02,99.77,0
2021-05-06,3.99,0
2021-05-07,9.5,0
2021-05-08,6.45,0
2021-05-09,53.22,0
2021-05-10,59.41,0
2021-05-11,57.02,0
2021-05-12,61.12,0
2021-05-13,57.72,0
2021-05-14,52.24,0
2021-05-15,55.35,0
2021-05-16,53.29,0
2021-05-17,52.88,0
2021-05-18,60.03,0
2021-05-19,54.57,0
2021-05-20,53.52,28.13
2021-05-21,50.3,55.42
2021-05-22,56.07,58.82
2021-05-23,50.49,28.64
2021-05-24,49.41,48.97
2021-05-25,47.22,52.77
2021-05-26,48.01,58.92
2021-05-27,45.96,48.41
2021-05-28,46.42,56.48
2021-05-29,49.7,36.32
2021-05-30,48.73,31.78
2021-05-31,41.95,19.67
2021-06-01,32.98,50.8
2021-06-02,87.79,39.02
2021-06-03,96.18,51.58
2021-06-04,96.78,50.67
2021-06-05,74.58,30.62
2021-06-06,58.54,32.62
2021-06-07,53.78,30.03
2021-06-08,88.67,37.71
2021-06-09,51.62,49.94
2021-06-10,68.16,39.59
2021-06-11,111.19,52.33
2021-06-12,109.3,19.39
2021-06-13,115.31,0
2021-06-14,106.69,0
2021-06-15,119.85,0
2021-06-16,113.77,0
2021-06-17,114.33,0
2021-06-18,115.22,0
2021-06-19,119.9,0
2021-06-20,127.94,0
2021-06-21,142.17,0
2021-06-22,141.18,0
2021-06-23,143.17,0
2021-06-24,157.2,0
2021-06-25,142.82,0
2021-06-26,150.16,0
2021-06-27,140.16,0
2021-06-28,143.66,0
2021-06-29,152.34,0
2021-06-30,130.52,0
2021-07-01,4.49,0
2021-07-05,39.97,0
2021-07-06,59.99,0
2021-07-07,64.53,0
2021-07-08,66.75,0
2021-07-09,59.39,0
2021-07-10,58.72,0
2021-07-11,54.33,0
2021-07-12,72.22,0
